row,product_details,asin,url,color_group,color,dimension,depth_in,width_in,height_in,girth_in
185,"Whiteline Modern Living Cory Coffee Table, White/Grey",B0BR8HLNDM,https://www.amazon.com/dp/B0BR8HLNDM?psc=1,grey,grey,"41""D x 41""W x 11""H",41,41,11,93
186,"Furinno Modern Simplistic Criss-Crossed Coffee Table, 35.4 in x 19.6 in x 16 in, French Oak Grey",B08XX3V5DD,https://www.amazon.com/dp/B08XX3V5DD?psc=1,grey,grey,"19.6""D x 35.4""W x 16""H",19.6,35.4,16,71
187,"Sweetcrispy Coffee Table, Lift Top Coffee Tables for Living Room,Rising Tabletop Wood Dining Center Tables with Storage Shelf and Hidden Compartment",B0C5X64YMX,https://www.amazon.com/dp/B0C5X64YMX?psc=1,brown,rustic brown,"19.69""D x 39.37""W x 16.93""H",19.69,39.37,16.93,75.99
188,"Furinno Simple Design Coffee Table, Dark Brown",B00IZCW4Q8,https://www.amazon.com/dp/B00IZCW4Q8?psc=1,brown,brown,"21.61""D x 35.5""W x 15.7""H",21.61,35.5,15.7,72.81
189,"WLIVE Wood Lift Top Coffee Table with Hidden Compartment and Adjustable Storage Shelf, Lift Tabletop Dining Table for Home Living Room, Office, Rustic Oak",B084ZH1LYN,https://www.amazon.com/dp/B084ZH1LYN?psc=1,brown,rustic brown,"19.7""D x 39.4""W x 16.3""H",19.7,39.4,16.3,75.4
190,"Yaheetech Lift Top Coffee Table with Hidden Compartment and Storage Shelf, Rising Tabletop Dining Table for Living Room Reception Room, 38.6in L, Black",B09F9BL46G,https://www.amazon.com/dp/B09F9BL46G?psc=1,black,black,"19.7""D x 38.6""W x 21.7""H",19.7,38.6,21.7,80
191,"Household Essentials Jamestown Round Coffee Table Ashwood Rustic Wood Grain and Black Metal, 31.5 x 31.5",B01FXOLJBQ,https://www.amazon.com/dp/B01FXOLJBQ?psc=1,brown/black,brown/black,"31.5""D x 31.5""W x 16""H",31.5,31.5,16,79
192,"SUPER DEAL 2-Tier Industrial Coffee Table with Storage Shelf for Small Apartment Living Room, Rectangle Wood and Stable Metal TV Stand Side End Table, Rustic Brown",B08N4TDMF4,https://www.amazon.com/dp/B08N4TDMF4?psc=1,brown/black,rustic brown/black,"20""D x 31.5""W x 16.5""H",20,31.5,16.5,68
193,"Ameriwood Home Parsons Modern Coffee Table, Black",B005QLJL3K,https://www.amazon.com/dp/B005QLJL3K?psc=1,black,black,"19""D x 39""W x 18""H",19,39,18,76
194,"Best Choice Products Wooden Mid-Century Modern Coffee Table, Accent Furniture for Living Room, Indoor, Home D√©cor w/Open Storage Shelf, Wood Grain Finish - White/Brown",B08LHN8CL1,https://www.amazon.com/dp/B08LHN8CL1?psc=1,white,white,"19.75""D x 39.25""W x 17.5""H",19.75,39.25,17.5,76.5
195,FDW Lift Top Coffee Table with Hidden Compartment and Storage Shelf Wooden Lift Tabletop for Home Living Room Reception Room Office (Brown),B08W8NJGNX,https://www.amazon.com/dp/B08W8NJGNX?psc=1,brown,brown,"39""D x 28""W x 24""H",39,28,24,91
196,"SAYGOER Small Coffee Table Modern Coffee Table Rustic Farmhouse Coffee Table Oval Mid Century Coffee Table Retro Accent Center Table for Living Room Easy Assembly, Walnut Oak",B08V8Y5HL7,https://www.amazon.com/dp/B08V8Y5HL7?psc=1,brown,brown,"22.2""D x 42.5""W x 17.1""H",22.2,42.5,17.1,81.8
197,"YITAHOME Wood Lift Top Coffee Table with Storage, Side Drawer & Metal Frame, Lift Tabletop Dining Tea Tables for Living Room, Reception Room, Office, Brown",B09DY8F8SX,https://www.amazon.com/dp/B09DY8F8SX?psc=1,brown/black,brown/black,"21.7""D x 42.9""W x 18.1""H ",21.7,42.9,18.1,82.7
198,"Iwell Mid Century Coffee Table with Drawer and Storage Shelf for Living Room, Wood Cocktail Table, Accent TV Table for Reception Room/Office, Easy to Assemble, Rustic Brown",B07P8RFHGR,https://www.amazon.com/dp/B07P8RFHGR?psc=1,brown/black,brown/black,"21.7""D x 43.3""W x 17.7""H",21.7,43.3,17.7,82.7
199,"Best Choice Products 44in Modern Industrial Style Rectangular Wood Grain Top Coffee Table, Rustic Accent Furniture for Living Room w/Metal Frame, 1.25in Thick Butcher Block Tabletop - Brown",B084H1WTJM,https://www.amazon.com/dp/B084H1WTJM?psc=1,brown/black,brown/black,"22.01""D x 44.02""W x 17.01""H",22.01,44.02,17.01,83.04
200,"2-Tier Farmhouse 41'' Large Gray Wood Coffee Table with Storage Shelf -Modern Rustic Metal Rectangle Center Living Room Coffee Table Accent Furniture for Home Office,Easy Assembly",B0BKZBMB64,https://www.amazon.com/dp/B0BKZBMB64?psc=1,grey/black,grey/black,"40.9""D x 21.7""W x 18.1""H",40.9,21.7,18.1,80.7
201,"Furinno Oval Coffee Table, Walnut",B01K8JES14,https://www.amazon.com/dp/B01K8JES14?psc=1,brown,espresso,"19.69""D x 35.43""W x 16.49""H",19.69,35.43,16.49,71.61
202,BOWERY HILL Round Glass Top Coffee Table End Table in Black and Gold,B07HJGVFRT,https://www.amazon.com/dp/B07HJGVFRT?psc=1,black/gold,black/gold,"37""D x 37""W x 20""H",37,37,20,94
203,"Lavish Home Coffee Table with Hairpin Legs, (L) 41.25‚Äù x (W) 19.5‚Äù x (H) 17.75‚Äù, Brown",B08Y99JVBZ,https://www.amazon.com/dp/B08Y99JVBZ?psc=1,brown/black,brown/black,"41.25""D x 19.5""W x 17.75""H",41.25,19.5,17.75,78.5
204,"ChooChoo Mission Coffee Table, Black Wood Living Room Table with Shelf, 40 Black",B07T24P7MP,https://www.amazon.com/dp/B07T24P7MP?psc=1,black,black,"22""D x 39.9""W x 18.1""H",22,39.9,18.1,80
205,"Furinno Coffee Table with Bins, Espresso/Brown",B004UMDLPK,https://www.amazon.com/dp/B004UMDLPK?psc=1,brown,espresso,"18.9""D x 31.5""W x 15.8""H",18.9,31.5,15.8,66.2
206,"SAYGOER Black Coffee Table Small Square Coffee Tables Simple Modern Center Table for Living Room Home Office 27.6 * 27.6 * 15.7Inch, Easy Assembly, Black Faux Marble",B092C6QHQT,https://www.amazon.com/dp/B092C6QHQT?psc=1,black,black,"27.6""D x 27.6""W x 15.7""H",27.6,27.6,15.7,70.9
207,"Signature Design by Ashley Norcastle Vintage Oval Coffee Table with Beveled Glass Top & Scrollwork Legs, Dark Brown",B00132FTA0,https://www.amazon.com/dp/B00132FTA0?psc=1,brown,brown,"34""D x 48""W x 20.25""H",34,48,20.25,102.25
208,"SAYGOER Glass Coffee Table, Small Modern Coffee Table Square Simple Center Tables for Living Room 26.7 x 26.7 x 15.7 Inches, Gray Black",B094NTR166,https://www.amazon.com/dp/B094NTR166?psc=1,black,black,"26.7""D x 26.7""W x 15.7""H",26.7,26.7,15.7,69.1
209,"VINGLI Lift Top Coffee Table, White Coffee Table with Lift Top, Lift Up Coffee Table with Storage Shelf/Hidden Compartment, Gas Lift Coffee Table Mesa De Centro para Sala Pop Up Coffee Table",B09B9YLQ8N,https://www.amazon.com/dp/B09B9YLQ8N?psc=1,white,white,"19.5""D x 40""W x 19.3""H",19.5,40,19.3,78.8
210,"Furinno Andrey Coffee Table with Bin Drawer, Amber Pine/Black",B09TG95RJJ,https://www.amazon.com/dp/B09TG95RJJ?psc=1,brown/black,brown/black,"19.02""D x 31.5""W x 15.6""H",19.02,31.5,15.6,66.12
211,"SICOTAS Lift Top Coffee Tables for Living Room with Storage Shelf & Hidden Compartment 47.2"" large Rattan Farmhouse Boho Mid Century Wood Center Tables 26.8"" Tall Unique Tea Table for Office Apartment",B0C4YQM53B,https://www.amazon.com/dp/B0C4YQM53B?psc=1,brown,natural wood,"23.6""D x 47.2""W x 23.4""H",23.6,47.2,23.4,94.2
212,Panana Manhattan Gate Engineered Wood Coffee Table (White with Drawers),B0BS3PHWHN,https://www.amazon.com/dp/B0BS3PHWHN?psc=1,white,white,"30.91""D x 29.21""W x 16.54""H",30.91,29.21,16.54,76.66
213,"Best Choice Products 2-Tier 35.5in Round Industrial Coffee Table, Rustic Steel Accent Table for Living Room, w/Wooden Tabletop, Reinforced Crossbars, Padded Feet, Open Shelf, Raised Bottom - Brown",B088P7S2SP,https://www.amazon.com/dp/B088P7S2SP?psc=1,brown/black,brown/black,"35.5""D x 35.5""W x 18.5""H",35.5,35.5,18.5,89.5
214,"SUPER DEAL Modern Wood Coffee Table, Mid-Century Small Dining Table TV Stand with Ample Storage Spaces for Living Room, Bedroom Apartment, 40 inch Industrial Rustic Brown",B09JGFQW5H,https://www.amazon.com/dp/B09JGFQW5H?psc=1,brown,brown,"22""D x 40""W x 19""H",22,40,19,81
215,"Mopio Ensley Coffee Table, Mid Century Modern Coffee Table with Storage, Rectangle Living Room Tables, Center Table, Walnut Grain",B08R5XVX2B,https://www.amazon.com/dp/B08R5XVX2B?psc=1,brown,brown,"23.2""D x 39.2""W x 15.7""H",23.2,39.2,15.7,78.1
216,"Best Choice Products 36in Modern Round Tempered Glass Accent Side Coffee Table for Living Room, Dining Room, Tea, Home D√©cor w/Metal Frame, Non-Marring Foot Caps - Black",B08ZCF16PG,https://www.amazon.com/dp/B08ZCF16PG?psc=1,black,black,"36""D x 36""W x 17""H",36,36,17,89
217,"FIRMINANA Small Oval Coffee Table for Small Space Mid Century Modern Coffee Table for Living Room Center Table Minimalist Display Black Coffe Table,Nature Wood(33.5in",B0B15BF4DD,https://www.amazon.com/dp/B0B15BF4DD?psc=1,brown,natural wood,"18.9""D x 33.47""W x 15.75""H",18.9,33.47,15.75,68.12
218,"WOHOMO Nesting Coffee Table Set of 2, Small Round Side Table and Rectangular Coffee Table, 2 in 1 Industrial Modern Style Coffee Table for Living Room, Detachable 2 Pieces Set, White Marble",B09BZG2TDC,https://www.amazon.com/dp/B09BZG2TDC?psc=1,white/black,white/black,"48.4""D x 23.6""W x 20.1""H",48.4,23.6,20.1,92.1
219,"WLIVE Coffee Table for Living Room,Wood Coffee Table with Storage,Mid-Century Modern Coffee Table with Drawer,Home,Rustic Brown.",B09X16LKSX,https://www.amazon.com/dp/B09X16LKSX?psc=1,brown,rustic brown,"39.4""D x 18.3""W x 18.1""H",39.4,18.3,18.1,75.8
220,"Gdrasuya10 Rustic Oval Coffee Table, 2 Tier Coffee Table with Storage Shelf Tea Table Wooden Cocktail Table Household Sofa Table (Distressed Dark Walnut)",B0BV6T3BN3,https://www.amazon.com/dp/B0BV6T3BN3?psc=1,brown,brown,"40""D x 24""W x 12""H",40,24,12,76
221,"JAXSUNNY Modern Farmhouse Coffee Table with Storage Shelf, Rustic Coffee Table with Metal R Frame, Wood Look Accent Cocktail Table for Living Room, Taupe",B09WRDPD7J,https://www.amazon.com/dp/B09WRDPD7J?psc=1,brown,brown,"40""D x 18""W x 22""H",40,18,22,80
222,"aboxoo Coffee Table Nesting White Set of 2 Side Set Golden Frame Circular and Marble Pattern Wooden Tables, Living Room Bedroom Apartment Modern Industrial Simple Nightstand",B09G2ZQFHP,https://www.amazon.com/dp/B09G2ZQFHP?psc=1,white/gold,white/gold,"23.6""D x 23.6""W x 17.7""H",23.6,23.6,17.7,64.9
223,"Furinno 11173 Just 3-Tier No Tools Coffee Table, White w/White Tube",B006321XP0,https://www.amazon.com/dp/B006321XP0?psc=1,white,white,"15.6""D x 23.6""W x 15.6""H",15.6,23.6,15.6,54.8
224,"HOJINLINERO Industrial Round Coffee Table Set of 2 End Table for Living Room,Stacking Side Tables, Sturdy and Easy Assembly,Wood Look Accent Furniture with Metal Frame,Black+Rustic Brown",B09KTPF7JM,https://www.amazon.com/dp/B09KTPF7JM?psc=1,brown/black,brown/black,"19.09""D x 27.36""W x 27.36""H",19.09,27.36,27.36,73.81
225,"ChooChoo Farmhouse Coffee Table, Rustic Vintage Living Room Table with Shelf, 40 White",B08SHCR143,https://www.amazon.com/dp/B08SHCR143?psc=1,white,white,"21.7""D x 39.4""W x 17.7""H",21.7,39.4,17.7,78.8
226,"FURINNO Camnus Modern Living Coffee Table, French Oak Grey",B083FQ8CXV,https://www.amazon.com/dp/B083FQ8CXV?psc=1,grey,grey,"15.75""D x 30""W x 17.5""H",15.75,30,17.5,63.25
227,"Mid Century Modern Coffee Table with Storage, 41.3 Inch Rectangle Wooden Accent Center Sofa Table with Sliding PE Rattan Woven Door Panel and Solid Wood Legs, Suitable for Living Room, Apartment",B0BZQF4T8J,https://www.amazon.com/dp/B0BZQF4T8J?psc=1,brown,natural wood,"21.65""D x 41.34""W x 16.34""H",21.65,41.34,16.34,79.33
228,"Gexpusm Round Coffee Table, Wood Coffee Tables for Living Room, Natural Wood Coffee Table with Storage, Center Large Circle Coffee Table, 35.3x35.3x17.8in",B0BD9F92ZP,https://www.amazon.com/dp/B0BD9F92ZP?psc=1,brown,natural wood,"35.3""D x 35.3""W x 17.8""H",35.3,35.3,17.8,88.4
229,"WLIVE Modern Lift Top Coffee Table,Rustic Coffee Table with Storage Shelf and Hidden Compartment,Wood Lift Tabletop for Home Living Room,Black,Rustic Brown.",B09X195S9B,https://www.amazon.com/dp/B09X195S9B?psc=1,brown/black,brown/black,"38.6""D x 18.9""W x 18.3""H",38.6,18.9,18.3,75.8
230,"NSdirect Round Coffee Table,36 inch Coffee Table for Living Room,2-Tier Rustic Wood Desktop & Sturdy Metal Legs Table Modern Design Home Furniture with Storage Shelf (Light Walnut)",B0888JVZH4,https://www.amazon.com/dp/B0888JVZH4?psc=1,brown/black,brown/black,"36""D x 36""W x 18""H",36,36,18,90
231,"Yaheetech Industrial Coffee Table, Rectangular Central Table Cocktail Table with Adjustable Metal Pipe for Living Room Home Furniture, Metal Frame, 42 x 22 x 18 Inches, Gray",B09G9SZZ3G,https://www.amazon.com/dp/B09G9SZZ3G?psc=1,grey,grey,"22""D x 42""W x 18""H",22,42,18,82
232,Milliard Modern Farmhouse Coffee Table with Storage Grey,B0BVTC71G5,https://www.amazon.com/dp/B0BVTC71G5?psc=1,brown,natural wood,"23.5""D x 43.25""W x 13.75""H",23.5,43.25,13.75,80.5
233,"VASAGLE Small Coffee Table Set of 2, Round Coffee Table with Steel Frame, Side End Table for Living Room, Bedroom, Office, Rustic Brown and Black",B08JSXNVKR,https://www.amazon.com/dp/B08JSXNVKR?psc=1,brown/black,rustic brown/black,"19.7""D x 19.7""W x 15.7""H",19.7,19.7,15.7,55.1
234,Tribesigns Farmhouse Coffee Table Square LED Coffee Table Engineered Wood Coffee Table for Living Room Rustic Brown & Black Low Coffee Table,B0BS3T7RC5,https://www.amazon.com/dp/B0BS3T7RC5?psc=1,brown/black,rustic brown/black,"35.4""D x 35.4""W x 17.7""H",35.4,35.4,17.7,88.5
235,Small Round Coffee Table Circle Modern White Coffee Tables for Living Room Center Table for Small Spaces 24 Inch Wood Accent Coffe Tables Mesa De Centro,B0BGMW8X6M,https://www.amazon.com/dp/B0BGMW8X6M?psc=1,white,white,"23.6""D x 23.6""W x 17.2""H",23.6,23.6,17.2,64.4
236,"Yaheetech Lift Top Coffee Table with Hidden Storage Compartment, Farmhouse Wooden Center Table with 2 Way Raisable Tabletop & Gas Lift Mechanism for Living Room Reception Room,Gray",B09PL5KB6Q,https://www.amazon.com/dp/B09PL5KB6Q?psc=1,grey,grey,"24""D x 47.5""W x 20""H",24,47.5,20,91.5
237,"CubiCubi 40.8"" x 22.8"" Coffee Table with Moveable Storage Box for Living Room, Wood Look Accent Furniture with Metal Frame, Easy Assembly, Natural",B08P5XZ84T,https://www.amazon.com/dp/B08P5XZ84T?psc=1,brown,natural wood,"22.8""D x 40.8""W x 18.1""H",22.8,40.8,18.1,81.7
238,"Itaar 43"" Lift Top Coffee Table, 3 in 1 Multi-Function Coffee Table with Storage for Living Room, Small Coffee Table for Dining Reception Room, Grey",B0BHKP7M91,https://www.amazon.com/dp/B0BHKP7M91?psc=1,grey,grey,"41""D x 43""W x 27""H",41,43,27,111
239,"SinCiDo 48‚Äù Lift Top Coffee Table, Coffee Table with Storage & Sliding Groove Barn Door, Farmhouse Coffee Table Rustic Wood Cocktail Table w/Double Storage Spaces for Living Room, White",B0C49YJ8KC,https://www.amazon.com/dp/B0C49YJ8KC?psc=1,white,white,"28""D x 47.75""W x 19.13""H",28,47.75,19.13,94.88
240,"Bidiso Lift Top Coffee Table, Easy-to-Assembly Center Table with Hidden Storage Compartment, Lift Tabletop Dining Table for Living Room Reception/Home Office, Oak",B097XLT76Q,https://www.amazon.com/dp/B097XLT76Q?psc=1,brown,natural wood,"21.6""D x 39.3""W x 15.7""H",21.6,39.3,15.7,76.6
241,"Auromie Nesting Coffee Table Set of 2, Hexagonal Side End Tables with Metal Frame, Modern Center Tables with Faux Marble Top for Living Room, Office, Balcony, Small Nightstands for Bedroom, White&Gold",B0C2CLDB5D,https://www.amazon.com/dp/B0C2CLDB5D?psc=1,white/gold,white/gold,"22.6""D x 19.69""W x 16.61""H",22.6,19.69,16.61,58.9
242,"Yaheetech Coffee Table, Tempered Glass Coffee Table, Modern Simple Center Table w/Geometric-Inspired Design & Metal-Frame & Easy Assembly & Open Storage Shelf for Living Room, Office, Black",B097G9J3PR,https://www.amazon.com/dp/B097G9J3PR?psc=1,black,black,"20""D x 42""W x 18""H",20,42,18,80
243,"ChooChoo Oxford Coffee Table with Thicker Legs, Black Wood Coffee Table with Storage for Living Room",B07T238M73,https://www.amazon.com/dp/B07T238M73?psc=1,black,black,"20""D x 42""W x 18""H",20,42,18,80
244,"NOBLEWELL Coffee Table Lift Top with Storage Compartment and Separated Open Shelves, Pop Up Coffee Table for Living Room, 39.4in L, Vintage Brown",B0922FNFBK,https://www.amazon.com/dp/B0922FNFBK?psc=1,brown,brown,"39""D x 19.7""W x 21.9""H",39,19.7,21.9,80.6
245,"OKD 48'' Coffee Table with Storage & Sliding Barn Doors, Farmhouse & Industrial Cocktail Table w/Adjustable Shelves, Rectangular Rustic Living Room Table for Living Meeting Room, Reclaimed Barnwood",B0BRLBV3Z4,https://www.amazon.com/dp/B0BRLBV3Z4?psc=1,brown,brown,"22""D x 48""W x 19""H",22,48,19,89
246,Meihua Glass Coffee Table for Living Room Rectangle Modern End Table‚Ä¶,B08HS14ZSX,https://www.amazon.com/dp/B08HS14ZSX?psc=1,clear/black,clear/black,"23""D x 39""W x 17""H",23,39,17,79
247,XXXDXDP 2 in 1 Marble Texture Coffee Table for Living Room Sofa Side Round Combination Home Furniture Metal Bracket,B0BV637BCP,https://www.amazon.com/dp/B0BV637BCP?psc=1,white/gold,white/gold,"31.5""D x 31.5""W x 17.72""H",31.5,31.5,17.72,80.72
248,"SAYGOER Coffee Table Simple Modern Coffee Tables Open Design Rectangular Minimalist Center Table for Living Room Home Office Industrial Cocktail Tables, Easy Assembly, 39.37 x 19.69 x 17.72, OAK White",B0BQ3BP4ND,https://www.amazon.com/dp/B0BQ3BP4ND?psc=1,white,white,"39.37""D x 19.69""W x 17.72""H",39.37,19.69,17.72,76.78
249,"Walker Edison Modern Glam Round Accent Faux White Marble Coffee Table with Gold X-Base, 36 Inch",B071YPHMY6,https://www.amazon.com/dp/B071YPHMY6?psc=1,white/gold,white/gold,"36""D x 35.5""W x 19""H",36,35.5,19,90.5
250,"Tangkula Glass Coffee Table, 42.5"" L √ó 20"" W √ó14"" H, Modern Clear Tempered Glass Coffee Table for Living Room, International Occasion Tea Table, Waterfall Table with Rounded Edges (Clear Glass)",B07WWSY44W,https://www.amazon.com/dp/B07WWSY44W?psc=1,clear,clear,"20""D x 42.5""W x 14""H",20,42.5,14,76.5
251,"Yaheetech Coffee Table, 41in Lift Top Coffee Table with Storage Hidden Compartment & Shelf, Pop Up Coffee Table for Living Room, Espresso",B07MHGJVBN,https://www.amazon.com/dp/B07MHGJVBN?psc=1,brown,espresso,"19.5""D x 41.1""W x 24.6""H",19.5,41.1,24.6,85.2
252,"Furinno 11172 Just 2-Tier No Tools Coffee Table, White w/White Tube",B006321J8G,https://www.amazon.com/dp/B006321J8G?psc=1,white,white,"15.6""D x 23.6""W x 8.8""H",15.6,23.6,8.8,48
253,"ZenStyle Industrial Coffee Table with Storage Shelf for Living Room, Wood Look Accent Furniture with Vintage Wooden Board Stable Metal Frame Cocktail Table 2-Tier Tea Table, Rustic Brown",B08NFBSC1F,https://www.amazon.com/dp/B08NFBSC1F?psc=1,brown/black,rustic brown/black,"31.5""D x 20""W x 16.54""H",31.5,20,16.54,68.04
254,"Ameriwood Home Carver Coffee Table, Gray",B01N0D7VC8,https://www.amazon.com/dp/B01N0D7VC8?psc=1,grey,grey,"35.4""D x 35.4""W x 17""H",35.4,35.4,17,87.8
255,"ANBUY Black Coffee Table with Storage, Modern Rectangle Coffee Table with Dual Storage Drawers & 2 Open Shelf, Wood TV Stand Side End Table for Apartment Living Room",B0BVVLTTGS,https://www.amazon.com/dp/B0BVVLTTGS?psc=1,black,black,"19.7""D x 39.4""W x 15.9""H",19.7,39.4,15.9,75
256,"AOGLLATI Lift Top Coffee Table with Storage and Hidden Compartment, Farmhouse Square Coffee Table with Charging Station, Wood Lift Tabletop Central Table for Living Room, Reception Room, Retro Brown",B0BR5CRZTG,https://www.amazon.com/dp/B0BR5CRZTG?psc=1,brown/black,brown/black,"32.3""D x 32.3""W x 17.7""H",32.3,32.3,17.7,82.3
257,"Elephance Round Coffee Table, 31.5 Inch Modern Coffee Table for Living Room, White and Gold Coffee Table with Storage, Wooden Tabletop-Marble White Print with Gold Frame",B0BZRVK9XC,https://www.amazon.com/dp/B0BZRVK9XC?psc=1,white/gold,white/gold,"31.5""D x 31.5""W x 18.1""H",31.5,31.5,18.1,81.1
258,"GOTOTOP Modern Glossy White Coffee Table W/LED Lighting, Contemporary Rectangle Design with 4 Drawers and Remote Control Living Room Furniture",B08CKYXJTV,https://www.amazon.com/dp/B08CKYXJTV?psc=1,white,white,"33""D x 24""W x 15""H",33,24,15,72
259,"LAZZO Rattan Coffee Table Mid Century Modern Center Rectangular Tables with 2 Drawers and Open Storage Shelf Wooden Small Media Table for Home Living Room,Office Natural Wood",B0BKSXTBLZ,https://www.amazon.com/dp/B0BKSXTBLZ?psc=1,brown,natural wood,"21.65""D x 35.43""W x 16.92""H",21.65,35.43,16.92,74
260,"Gdrasuya10 Modern White Faux Marble Coffee Table, 2 Tier Wood Coffee Table with Gold Frame Center TV Table Cocktail Table Sofa End Table for Living Room Bedroom (40"" L)",B0B92XNY3N,https://www.amazon.com/dp/B0B92XNY3N?psc=1,white/gold,white/gold,"30""D x 10""W x 8""H",30,10,8,48
262,"BDI Reveal 1192 Lift Coffee Table, Chocolate Walnut",B09PQN71DR,https://www.amazon.com/dp/B09PQN71DR?psc=1,white,white,"27""D x 48""W x 15.5""H",27,48,15.5,90.5
263,"WLIVE Lift Top Coffee Table with Storage,Small Coffee Table with Drawers for Living Room,Hidden Compartment and Open Shelf,Central Table for Reception Room,Rustic Brown",B0BRB12W8X,https://www.amazon.com/dp/B0BRB12W8X?psc=1,brown,rustic brown,"19.69""D x 39.37""W x 17.91""H",19.69,39.37,17.91,76.97
264,"Lift Top Coffee Table, Coffee Tables for Living Room, Coffee Table with Storage, Rustic Coffee Table with Hidden Compartment, Wooden Legs",B0BTHQ88HN,https://www.amazon.com/dp/B0BTHQ88HN?psc=1,grey,grey,"19.7""D x 41.7""W x 24.3""H",19.7,41.7,24.3,85.7
265,"Sauder North Avenue Coffee Table, Charter Oak finish, L: 31.50"" x W: 20.00"" x H: 16.54""",B01K6PLW4Q,https://www.amazon.com/dp/B01K6PLW4Q?psc=1,brown/black,brown/black,"20""D x 31.5""W x 3.76""H",20,31.5,16.54,68.04
266,"Yaheetech Wood 2-Tier Black Coffee Table with Storage Shelf for Living Room, X Design Accent Cocktail Table, Easy Assembly Home Furniture, 39.5 x 21.5 x 18 Inches",B0833M87VX,https://www.amazon.com/dp/B0833M87VX?psc=1,black,black,"21.5""D x 39.5""W x 18""H",21.5,39.5,18,79
267,BDI Furniture Terrace Square Coffee Table Charcoal,B073K4MSCV,https://www.amazon.com/dp/B073K4MSCV?psc=1,clear/black,clear/black,"44""D x 44""W x 16.25""H",44,44,16.25,104.25
268,"VINGLI Glass Coffee Table, 25.6"" Round Coffee Table Gold Coffee Tables for Living Room, 2-Tier Glass Top Coffee Table with Storage Clear Coffee Table, Simple & Modern Center Table for Small Space",B09RH3LJLW,https://www.amazon.com/dp/B09RH3LJLW?psc=1,clear/gold,clear/gold,"25.6""D x 25.6""W x 18.9""H",25.6,25.6,18.9,70.1
269,"Furinno Beginning Coffee Table, French Oak Grey , 19.45D x 35.59W x 15.63H in",B07GDWL9TV,https://www.amazon.com/dp/B07GDWL9TV?psc=1,grey,grey,"19.45""D x 35.59""W x 15.63""H",19.45,35.59,15.63,70.67
270,"Artissance Versatile Peking Grand Framed Square Weathered White Wash, 50 Inch Long Coffee Table",B09Q1DMB5D,https://www.amazon.com/dp/B09Q1DMB5D?psc=1,brown,natural wood,"50""D x 50""W x 16""H",50,50,16,116
271,"Round Coffee Table Modern Coffee Table Sofa Table Tea Table for Living Room, Office Desk, Balcony, Wood Desktop and Metal Legs, White Oak,31.5""",B09DYBM7KB,https://www.amazon.com/dp/B09DYBM7KB?psc=1,brown/black,brown/black,"31.5""D x 31.5""W x 15.75""H",31.5,31.5,15.75,78.75
272,"Personalized Large EPOXY Table, Resin Dining Table for 2, 4, 6, 8 River Table Top, Wood Epoxy Coffee Table Top, Living Room Table (Without Stand, 72 x 48inches)",B0B59M7PXB,https://www.amazon.com/dp/B0B59M7PXB?psc=1,brown,brown,"72""D x 48""W x 10""H",72,48,10,130
273,"HOMMPA Lift Top LED Coffee Table with Charging Station Black CoffeeTable for Living Room with Hidden Compartment High Gloss Lift Tabletop Modern Center Cocktail Table for Living Room 15.7"" H",B0BJ76PHZY,https://www.amazon.com/dp/B0BJ76PHZY?psc=1,black,black,"39.37""D x 19.68""W x 15.74""H",39.37,19.68,15.74,74.79
274,"Oakrain Nesting Tables for Living Room, Round Nesting Coffee Table, Farmhouse End Tables Living Room Set of 2, Wood Side Tables Set of 2 for Sofa, Bedroom, Balcony",B0B2P86Z7L,https://www.amazon.com/dp/B0B2P86Z7L?psc=1,brown/black,brown/black,"18.11""D x 18.11""W x 22.83""H",18.11,18.11,22.83,59.05
275,"Rainbow Sophia Coffee Table, Modern Farmhouse Wood Coffee Table with 2-Tier Storage, 40 Inch, White Oak",B08ML5W8DZ,https://www.amazon.com/dp/B08ML5W8DZ?psc=1,brown,natural wood,"22""D x 40""W x 18""H",22,40,18,80
276,"Yaheetech Lift Top Coffee Table, 47.5 in Coffee Table with Hidden Storage Compartment, Wooden Lift Up Central Table for Living Room & Reception Room, Gray",B09Q8WXHWL,https://www.amazon.com/dp/B09Q8WXHWL?psc=1,brown/black,brown/black,"24""D x 47.5""W x 20""H",24,47.5,20,91.5
277,"Gexpusm Round Wood Coffee Table, Farmhouse Round Coffee Table for Living Room, Solid Wood Circle Center Table, Round Wooden Rustic Natural Table, 31.5 * 31.5 * 14IN(Contain Only Coffee Table)",B0BF9TFB35,https://www.amazon.com/dp/B0BF9TFB35?psc=1,brown,natural wood,"31.5""D x 31.5""W x 14""H",31.5,31.5,14,77
278,"WEENFON Coffee Table, Industrial Coffee Table with 2 Cloth Drawers & Open Storage Shelf, Modern Accent Cocktail Table with Hidden Compartment for Living Room, Metal Frame, Dark Brown",B09RDVCXHP,https://www.amazon.com/dp/B09RDVCXHP?psc=1,brown/black,brown/black,"43.3""D x 19.7""W x 18.9""H",43.3,19.7,18.9,81.9
279,bonVIVO Black Coffee Table Donatella,B087JXFXWT,https://www.amazon.com/dp/B087JXFXWT?psc=1,clear/black,clear/black,"21.7""D x 43""W x 15.7""H",21.7,43,15.7,80.4
